,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM2G531230,-2.134462994,5.370659008,1.34E-09,1.86E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G074097,2.550234782,7.581754319,1.38E-09,1.91E-07,,,,,,,,,,,,,,,,,,,
GRMZM6G205247,-2.191547414,2.740748729,1.43E-09,1.95E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G090266,-2.096881098,2.843270073,1.44E-09,1.95E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G121166,1.665232391,5.64746006,1.44E-09,1.95E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G054123,1.77345083,4.787184952,1.46E-09,1.97E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G371063,4.579425928,1.103345289,1.47E-09,1.98E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G163514,7.060492944,3.19855144,1.58E-09,2.11E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G459854,1.266674768,5.975108297,1.64E-09,2.17E-07,,,,,,,,,,,,,,,,,,,
GRMZM5G837606,-3.226111401,1.724708222,1.67E-09,2.20E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G166976,2.467820847,7.704358115,1.83E-09,2.39E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G466780,-1.817215327,3.941881306,1.85E-09,2.41E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G141600,1.433289021,5.553210827,1.93E-09,2.50E-07,,,,,,,,,,,,,,,,,,,
AC202122.2_FG006,4.391070204,3.525878809,1.97E-09,2.54E-07,,,,,,,,,,,,,,,,,,,
GRMZM5G840538,4.134954423,1.123814188,2.03E-09,2.60E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G097505,-2.598105607,3.165270434,2.08E-09,2.64E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G070034,-1.500656898,6.695382535,2.23E-09,2.82E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G057067,1.849036533,4.497673043,2.30E-09,2.89E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G424053,1.629510291,8.59031541,2.74E-09,3.43E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G066413,1.346955956,6.615553894,2.77E-09,3.43E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G003385,1.5569546,6.934801372,2.77E-09,3.43E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G365160,1.54569021,6.001592631,3.84E-09,4.73E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G072890,2.864517067,3.889520182,4.12E-09,5.04E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G113873,1.232121294,6.744250823,4.20E-09,5.11E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G152549,1.845214216,4.173973031,5.37E-09,6.50E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G177050,1.632869258,4.279895438,5.69E-09,6.85E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G180044,-2.718126356,1.836018163,6.15E-09,7.36E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G362848,-2.168393877,2.971922569,6.33E-09,7.52E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G158972,2.020882124,4.6567888,6.35E-09,7.52E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G099003,2.242014677,6.502798408,6.93E-09,8.17E-07,,,,,,,,,,,,,,,,,,,
GRMZM5G813578,-3.450786989,1.350228712,7.13E-09,8.37E-07,,Little information.,,,,,,,,,,,,,,,,,
